YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2015,4,10.5,5.5,28,14,44.5,80,29,2018,35,24.5,13.5
2016,0.4,21,40,23.5,45,30.5,108.5,20,13.5,37,5.5,29
2017,4.5,5.1,5,37.5,6,29,144.5,124.5,24,20,24,20
2018,3.3,25,27,59,83,71.5,83.5,96.5,34.5,55.5,64,9.5
2019,0,16,16.5,2017.4,22,35.3,62.3,56.2,63.2,25.4,21.1,9.8
2020,46.3,16.6,11.8,10.3,29.8,64.7,103.1,102.6,61,0,86.9,2.9
2021,9.2,3.4,67.5,56.2,66.9,38.2,67.4,77.4,68.1,14.2,27.2,2.8
2022,1.7,1.7,42.1,15.5,3.5,20176.2,114.5,129.6,120,76,57.9,5.4
2023,37.3,0.6,5.6,50.3,47.5,63.8,91.6,86.1,38.7,14.7,45.8,31.1
2024,9.7,2017.8,11.5,2017.1,48.3,38.3,128.8,42.2,54.5,47.1,26,2.9
2025,6.7,2.5,11.8,34.8,51.3,51.1,84,126.7,63.7,49.3,0,0
