YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2015,11.3,22.7,9.6,80.5,28.9,99,226,72.9,26,81.5,104.6,29.1
2016,1,47.6,40.5,76.8,160.5,54.4,358.2,67.1,33,74.8,16.7,61.1
2017,14.9,11.1,7.9,61.6,16.1,66.6,621,297,35,26.5,40.7,34.8
2018,8.5,29.6,49.5,130.3,222,20171.5,20185.6,202.6,68.5,120.5,79.1,16.4
2019,0,23.8,26.8,47.3,37.8,74,20194.4,20190.5,139.8,55.5,78.8,22.6
2020,60.5,53.1,16.3,16.9,112.4,139.6,270.4,675.7,20181.5,0,120.1,4.6
2021,2018.9,7.1,110.9,124.1,20183.1,104.6,168.3,211.2,131,57,62.4,7.9
2022,5.5,4.7,102.6,20.4,7.5,393.8,252.3,564.8,201.5,124.1,84.5,13.6
2023,47.9,1,10.5,96.9,155.6,20195.6,459.9,298.1,134.5,31,81.9,85.9
2024,2018.9,74.7,29.9,33.2,125.1,115.9,557.3,72.8,143.9,74,60,5.7
2025,2019.5,5.2,38.2,94.6,123.6,98.1,293.9,290.3,370.7,20186.3,0,0
